region,district,ward,street
Dodoma,Chamwino,Majeleko,
Dodoma,Chamwino,Manchali,
Dodoma,Chamwino,Ikowa,
Dodoma,Chamwino,Msamalo,
Dodoma,Chamwino,Igandu,
Dodoma,Chamwino,Muungano,
Dodoma,Chamwino,Mvumi Makulu,
Dodoma,Chamwino,Handali,
Dodoma,Chamwino,Mvumi Mission,
Dodoma,Chamwino,Idifu,
Dodoma,Chamwino,Makang'wa,
Dodoma,Chamwino,Iringamvumi,
Dodoma,Chamwino,Manzase,
Dodoma,Chamwino,Fufu,
Dodoma,Chamwino,Mlowa Bwawani,
Dodoma,Chamwino,Mpwayungu,
Dodoma,Chamwino,Nghambaku,
Dodoma,Chamwino,Chinugulu,
Dodoma,Chamwino,Manda,
Dodoma,Chamwino,Huzi,
Dodoma,Chamwino,Loje,
Dodoma,Chamwino,Chiboli,
Dodoma,Chamwino,Nhinhi,
Dodoma,Chamwino,Zajilwa,
Dodoma,Dodoma Urban,Viwandani,
Dodoma,Dodoma Urban,Uhuru,
Dodoma,Dodoma Urban,Chamwino,
Dodoma,Dodoma Urban,Kiwanja cha ndege,
Dodoma,Dodoma Urban,Makole,
Dodoma,Dodoma Urban,Miyuji,
Dodoma,Dodoma Urban,Msalato,
Dodoma,Dodoma Urban,Makutupora,
Dodoma,Dodoma Urban,Chihanga,
Dodoma,Dodoma Urban,Hombolo,
Dodoma,Dodoma Urban,Ipala,
Dodoma,Dodoma Urban,Nzuguni,
Dodoma,Dodoma Urban,Dom-Makulu,
Dodoma,Dodoma Urban,Mtumba,
Dodoma,Dodoma Urban,Kikombo,
Dodoma,Dodoma Urban,Ngh'ongh'onha,
Dodoma,Dodoma Urban,Mpunguzi,
Dodoma,Dodoma Urban,Tambukareli,
Dodoma,Dodoma Urban,Kilimani,
Dodoma,Dodoma Urban,Kikuyu Kusini,
Dodoma,Dodoma Urban,Kikuyu Kaskazini,
Dodoma,Dodoma Urban,Mkonze,
Dodoma,Dodoma Urban,Mbabala,
Dodoma,Dodoma Urban,Zuzu,
Dodoma,Dodoma Urban,Hazina,
Dodoma,Dodoma Urban,Madukani,
Dodoma,Dodoma Urban,Majengo,
Dodoma,Dodoma Urban,Kizota,
Dodoma,Dodoma Urban,Nala,
Dodoma,Dodoma Urban,Mbalawala,
Dodoma,Dodoma Urban,Ntyuka,
Dodoma,Dodoma Urban,Chigongwe,
Dodoma,Dodoma Urban,Chang'ombe,
Dodoma,Dodoma Urban,Iyumbu,
Dodoma,Dodoma Urban,Chahwa,
Dodoma,Dodoma Urban,Mnadani,
Dodoma,Dodoma Urban,Ipagala,
Dodoma,Bahi,Makanda,
Dodoma,Bahi,Lamaiti,
Dodoma,Bahi,Babayu,
Dodoma,Bahi,Zanka,
Dodoma,Bahi,Msisi,
Dodoma,Bahi,Mundemu,
Dodoma,Bahi,Bahi,
Dodoma,Bahi,Mpamantwa,
Dodoma,Bahi,Ibihwa,
Dodoma,Bahi,Ilindi,
Dodoma,Bahi,Kigwe,
Dodoma,Bahi,Chikola,
Dodoma,Bahi,Chipanga,
Dodoma,Bahi,Chali,
Dodoma,Bahi,Nondwa,
Dodoma,Bahi,Mpalanga,
Dodoma,Bahi,Ibugule,
Dodoma,Bahi,Chibelela,
Dodoma,Bahi,Mwitikira,
Dodoma,Bahi,Mtitaa,
Dodoma,Chemba,Makorongo,
Dodoma,Chemba,Ovada,
Dodoma,Chemba,Msaada,
Dodoma,Chemba,Kimaha,
Dodoma,Chemba,Churuku,
Dodoma,Chemba,Songoro,
Dodoma,Chemba,Mondo,
Dodoma,Chemba,Dalai,
Dodoma,Chemba,Mrijo,
Dodoma,Chemba,Chandama,
Dodoma,Chemba,Goima,
Dodoma,Chemba,Chemba,
Dodoma,Chemba,Paranga,
Dodoma,Chemba,Gwandi,
Dodoma,Chemba,Farkwa,
Dodoma,Chemba,Mpendo,
Dodoma,Chemba,Sanzawa,
Dodoma,Chemba,Kwamtoro,
Dodoma,Chemba,Lalta,
Arusha,Monduli,Engaruka,
Arusha,Monduli,Monduli juu,
Arusha,Monduli,Engutoto,
Arusha,Monduli,Monduli Mjini,
Arusha,Monduli,Moita,
Arusha,Monduli,Sepeko,
Arusha,Monduli,Lolkisale,
Arusha,Monduli,Makuyuni,
Arusha,Monduli,Esilalei,
Arusha,Monduli,Mto wa Mbu,
Arusha,Monduli,Lepurko,
Arusha,Monduli,Meserani,
Arusha,Monduli,Mswakini,
Arusha,Monduli,Majengo,
Arusha,Meru,Ngarenanyuki,
Arusha,Meru,Leguruki,
Arusha,Meru,King'ori,
Arusha,Meru,Maji ya chai,
Arusha,Meru,Kikatiti,
Arusha,Meru,Maroroni,
Arusha,Meru,Makiba,
Arusha,Meru,Mbuguni,
Arusha,Meru,Kikwe,
Arusha,Meru,Usariver,
Arusha,Meru,Nkoaranga,
Arusha,Meru,Poli,
Arusha,Meru,Seela Sing'isi,
Arusha,Meru,Akheri,
Arusha,Meru,Nkoanrua,
Arusha,Meru,Songoro,
Arusha,Meru,Nkoarisambu,
Arusha,Arusha Urban,Kati,
Arusha,Arusha Urban,Kaloleni,
Arusha,Arusha Urban,Sekei,
Arusha,Arusha Urban,Kimandolu,
Arusha,Arusha Urban,Baraa,
Arusha,Arusha Urban,Oloirieni,
Arusha,Arusha Urban,Themi,
Arusha,Arusha Urban,Lemara,
Arusha,Arusha Urban,Terrat,
Arusha,Arusha Urban,Sokoni I,
Arusha,Arusha Urban,Daraja Mbili,
Arusha,Arusha Urban,Unga Ltd,
Arusha,Arusha Urban,Sombetini,
Arusha,Arusha Urban,Ngarenaro,
Arusha,Arusha Urban,Levolosi,
Arusha,Arusha Urban,Engutoto,
Arusha,Arusha Urban,Elerai,
Arusha,Arusha Urban,Olasiti,
Arusha,Arusha Urban,Moshono,
Arusha,Karatu,Karatu,
Arusha,Karatu,Endamarariek,
Arusha,Karatu,Buger,
Arusha,Karatu,Endabash,
Arusha,Karatu,Kansay,
Arusha,Karatu,Baray,
Arusha,Karatu,Mang'ola,
Arusha,Karatu,Daa,
Arusha,Karatu,Oldean,
Arusha,Karatu,Qurus,
Arusha,Karatu,Ganako,
Arusha,Karatu,Rhotia,
Arusha,Karatu,Mbulumbulu,
Arusha,Karatu,Endamaghang,
Arusha,Ngorongoro,Orgosorok,
Arusha,Ngorongoro,Digodigo,
Arusha,Ngorongoro,Oldonyo Sambu,
Arusha,Ngorongoro,Pinyinyi,
Arusha,Ngorongoro,Sale,
Arusha,Ngorongoro,Malambo,
Arusha,Ngorongoro,Naiyobi,
Arusha,Ngorongoro,Nainokanoka,
Arusha,Ngorongoro,Olbalbal,
Arusha,Ngorongoro,Ngorongoro,
Arusha,Ngorongoro,Endulen,
Arusha,Ngorongoro,Kakesio,
Arusha,Ngorongoro,Arash,
Arusha,Ngorongoro,Soitsambu,
Arusha,Ngorongoro,Engusero Sambu,
Arusha,Ngorongoro,Oloirien,
Arusha,Ngorongoro,Samunge,
Arusha,Ngorongoro,Alailelai,
Arusha,Ngorongoro,Maalon,
Arusha,Ngorongoro,Ololosokwan,
Arusha,Ngorongoro,Oloipiri,
Arusha,Arusha,Olkokola,
Arusha,Arusha,Ilkiding'a,
Arusha,Arusha,Bangata,
Arusha,Arusha,Sokon II,
Arusha,Arusha,Oltoroto,
Arusha,Arusha,Moivo,
Arusha,Arusha,Kiranyi,
Arusha,Arusha,Kimnyaki,
Arusha,Arusha,Oltrumet,
Arusha,Arusha,Mwandeti,
Arusha,Arusha,Mussa,
Arusha,Arusha,Kisongo,
Arusha,Arusha,Mateves,
Arusha,Arusha,Oljoro,
Arusha,Arusha,Bwawani,
Arusha,Arusha,Nduruma,
Arusha,Arusha,Mlangarini,
Arusha,Arusha,Sambasha,
Arusha,Arusha,Olorieni,
Arusha,Arusha,Olmotonyi,
Arusha,Longido,Kitumbeine,
Arusha,Longido,Engikaret,
Arusha,Longido,Eleng'ata Dapash,
Arusha,Longido,Ilorienito,
Arusha,Longido,Gelai Meirugoi,
Arusha,Longido,Gelai lumbwa,
Arusha,Longido,Matale,
Arusha,Longido,Engarenaibor,
Arusha,Longido,Mundarara,
Arusha,Longido,Kimokouwa,
Arusha,Longido,Namanga,
Arusha,Longido,Orbomba,
Arusha,Longido,Longido,
Arusha,Longido,Tingatinga,
Arusha,Longido,Olmolog,
Arusha,Longido,Kamwanga,
Kilimanjaro,Rombo,Mamsera,
Kilimanjaro,Rombo,Mahida,
Kilimanjaro,Rombo,Mengwe,
Kilimanjaro,Rombo,Keni Mengeni,
Kilimanjaro,Rombo,Aleni,
Kilimanjaro,Rombo,Shimbi,
Kilimanjaro,Rombo,Makiidi,
Kilimanjaro,Rombo,Kelamfua Mokala,
Kilimanjaro,Rombo,Ushiri Ikuini,
Kilimanjaro,Rombo,Mrao Keryo,
Kilimanjaro,Rombo,Kirwa Keni,
Kilimanjaro,Rombo,Katangara Mrere,
Kilimanjaro,Rombo,Kisale Msaranga,
Kilimanjaro,Rombo,Olele,
Kilimanjaro,Rombo,Kirongo Samanga,
Kilimanjaro,Rombo,Kitirima Kingachi,
Kilimanjaro,Rombo,Ubetu Kahe,
Kilimanjaro,Rombo,Nanjara Reha,
Kilimanjaro,Rombo,Tarakea Motamburu,
Kilimanjaro,Rombo,Motamburu Kitendeni,
Kilimanjaro,Rombo,Marangu Kitowo,
Kilimanjaro,Rombo,Ngoyoni,
Kilimanjaro,Rombo,Manda,
Kilimanjaro,Rombo,Holili,
Kilimanjaro,Mwanga,Kileo,
Kilimanjaro,Mwanga,Mwanga,
Kilimanjaro,Mwanga,Msangeni,
Kilimanjaro,Mwanga,Kifula,
Kilimanjaro,Mwanga,Kighare,
Kilimanjaro,Mwanga,Kirongwe,
Kilimanjaro,Mwanga,Kwakoa,
Kilimanjaro,Mwanga,Lembeni,
Kilimanjaro,Mwanga,Jipe,
Kilimanjaro,Mwanga,Mwaniko,
Kilimanjaro,Mwanga,Chomvu,
Kilimanjaro,Mwanga,Ngujini,
Kilimanjaro,Mwanga,Kirya,
Kilimanjaro,Mwanga,Kilomeni,
Kilimanjaro,Mwanga,Shighatini,
Kilimanjaro,Mwanga,Lang'ata,
Kilimanjaro,Mwanga,Mgagao,
Kilimanjaro,Mwanga,Toloha,
Kilimanjaro,Mwanga,Kigoningoni,
Kilimanjaro,Mwanga,Kivisini,
Kilimanjaro,Same,Same,
Kilimanjaro,Same,Ruvu,
Kilimanjaro,Same,Njoro,
Kilimanjaro,Same,Kisiwani,
Kilimanjaro,Same,Msindo,
Kilimanjaro,Same,Mshewa,
Kilimanjaro,Same,Mhezi,
Kilimanjaro,Same,Mwembe,
Kilimanjaro,Same,Vudee,
Kilimanjaro,Same,Vuje,
Kilimanjaro,Same,Bombo,
Kilimanjaro,Same,Mtii,
Kilimanjaro,Same,Maore,
Kilimanjaro,Same,Ndungu,
Kilimanjaro,Same,Kihurio,
Kilimanjaro,Same,Bendera,
Kilimanjaro,Same,Myamba,
Kilimanjaro,Same,Mpinji,
Kilimanjaro,Same,Bwambo,
Kilimanjaro,Same,Vunta,
Kilimanjaro,Same,Chome,
Kilimanjaro,Same,Suji,
Kilimanjaro,Same,Makanya,
Kilimanjaro,Same,Hedaru,
Kilimanjaro,Same,Kirangare,
Kilimanjaro,Same,Kisima,
Kilimanjaro,Same,Stesheni,
Kilimanjaro,Same,Vumari,
Kilimanjaro,Same,Mabilioni,
Kilimanjaro,Same,Kalemawe,
Kilimanjaro,Same,Lugulu,
Kilimanjaro,Moshi,Mwika Kusini,
Kilimanjaro,Moshi,MwikaKaskazini,
Kilimanjaro,Moshi,Mamba Kaskazini,
Kilimanjaro,Moshi,Mamba Kusini,
Kilimanjaro,Moshi,Marangu Mashariki,
Kilimanjaro,Moshi,Marangu Magharibi,
Kilimanjaro,Moshi,Makuyuni,
Kilimanjaro,Moshi,Kilema Kaskazini,
Kilimanjaro,Moshi,Kilema Kusini,
Kilimanjaro,Moshi,KiruaVunjo Mashariki,
Kilimanjaro,Moshi,KiruaVunjo Magharibi,
Kilimanjaro,Moshi,Kahe,
Kilimanjaro,Moshi,Kahe Mashariki,
Kilimanjaro,Moshi,Old Moshi Mashariki,
Kilimanjaro,Moshi,Old Moshi Magharibi,
Kilimanjaro,Moshi,Mbokomu,
Kilimanjaro,Moshi,Uru Mashariki,
Kilimanjaro,Moshi,Uru Shimbwe,
Kilimanjaro,Moshi,Uru Kusini,
Kilimanjaro,Moshi,Uru Kaskazini,
Kilimanjaro,Moshi,Mabogini,
Kilimanjaro,Moshi,Arusha Chini,
Kilimanjaro,Moshi,Kibosho Mashariki,
Kilimanjaro,Moshi,Kibosho Kati,
Kilimanjaro,Moshi,Kibosho Magharibi,
Kilimanjaro,Moshi,Kindi,
Kilimanjaro,Moshi,KiruaVunjo Kusini,
Kilimanjaro,Moshi,Kirima,
Kilimanjaro,Moshi,Okaoni,
Kilimanjaro,Moshi,Kimochi,
Kilimanjaro,Moshi,Kilema Kati,
Kilimanjaro,Hai,Machame Mashariki,
Kilimanjaro,Hai,Machame Kusini,
Kilimanjaro,Hai,Machame Kaskazini,
Kilimanjaro,Hai,Machame Magharibi,
Kilimanjaro,Hai,Machame Uroki,
Kilimanjaro,Hai,Masama Mashariki,
Kilimanjaro,Hai,Masama Magharibi,
Kilimanjaro,Hai,Masama Kusini,
Kilimanjaro,Hai,Masama Rundugai,
Kilimanjaro,Hai,Hai Mjini,
Kilimanjaro,Hai,Masama Kati,
Kilimanjaro,Hai,Machame Weruweru,
Kilimanjaro,Hai,KIA,
Kilimanjaro,Hai,Machame Narumu,
Kilimanjaro,Moshi Urban,Kilimanjaro,
Kilimanjaro,Moshi Urban,Njoro,
Kilimanjaro,Moshi Urban,Mji Mpya,
Kilimanjaro,Moshi Urban,Majengo,
Kilimanjaro,Moshi Urban,Mawenzi,
Kilimanjaro,Moshi Urban,Rau,
Kilimanjaro,Moshi Urban,Korongoni,
Kilimanjaro,Moshi Urban,Kiusa,
Kilimanjaro,Moshi Urban,Bondeni,
Kilimanjaro,Moshi Urban,Pasua,
Kilimanjaro,Moshi Urban,Kaloleni,
Kilimanjaro,Moshi Urban,Kiboriloni,
Kilimanjaro,Moshi Urban,Msaranga,
Kilimanjaro,Moshi Urban,Karanga,
Kilimanjaro,Moshi Urban,Longuo B,
Kilimanjaro,Moshi Urban,Miembeni,
Kilimanjaro,Moshi Urban,Mfumuni,
Kilimanjaro,Moshi Urban,Soweto,
Kilimanjaro,Moshi Urban,Boma Mbuzi,
Kilimanjaro,Moshi Urban,Ng'ambo,
Kilimanjaro,Moshi Urban,Shirimatunda,
Kilimanjaro,Siha,Ndumeti,
Kilimanjaro,Siha,Ngarenairobi,
Kilimanjaro,Siha,Gararagua,
Kilimanjaro,Siha,Sanya Juu,
Kilimanjaro,Siha,Biriri,
Kilimanjaro,Siha,Makiwaru,
Kilimanjaro,Siha,Nasai,
Kilimanjaro,Siha,Livishi,
Kilimanjaro,Siha,Ivaeny,
Kilimanjaro,Siha,Kashisha,
Kilimanjaro,Siha,Karansi,
Kilimanjaro,Siha,Olkolili,
Tanga,Lushoto,Lushoto,
Tanga,Lushoto,Gare,
Tanga,Lushoto,Kwai,
Tanga,Lushoto,Ubiri,
Tanga,Lushoto,Soni,
Tanga,Lushoto,Vuga,
Tanga,Lushoto,Mponde,
Tanga,Lushoto,Mamba,
Tanga,Lushoto,Mbuzii,
Tanga,Lushoto,Tamota,
Tanga,Lushoto,Bumbuli,
Tanga,Lushoto,Funta,
Tanga,Lushoto,Mayo,
Tanga,Lushoto,Baga,
Tanga,Lushoto,Milingano,
Tanga,Lushoto,Mgwashi,
Tanga,Lushoto,Mtae,
Tanga,Lushoto,Sunga,
Tanga,Lushoto,Rangwi,
Tanga,Lushoto,Mnazi,
Tanga,Lushoto,Lunguza,
Tanga,Lushoto,Mbaramo,
Tanga,Lushoto,Mng'aro,
Tanga,Lushoto,Mlalo,
Tanga,Lushoto,Mwangoi,
Tanga,Lushoto,Shume,
Tanga,Lushoto,Malindi,
Tanga,Lushoto,Hemtoye,
Tanga,Lushoto,Malibwi,
Tanga,Lushoto,Mlola,
Tanga,Lushoto,Makanya,
Tanga,Lushoto,Ngwelo,
Tanga,Lushoto,Kilole,
Tanga,Lushoto,Kwekanga,
Tanga,Lushoto,Lukozi,
Tanga,Lushoto,Manolo,
Tanga,Lushoto,"Dule ""M""",
Tanga,Lushoto,Kwemshasha,
Tanga,Lushoto,Nkongoi,
Tanga,Lushoto,"Dule ""B""",
Tanga,Lushoto,Maheza ngulu,
Tanga,Lushoto,Usambara,
Tanga,Lushoto,Ngulwi,
Tanga,Lushoto,Kwemashai,
Tanga,Korogwe,Mashewa,
Tanga,Korogwe,Kizara,
Tanga,Korogwe,Magoma,
Tanga,Korogwe,Kerenge,
Tanga,Korogwe,Kwagunda,
Tanga,Korogwe,Mnyuzi,
Tanga,Korogwe,Vugiri,
Tanga,Korogwe,Dindira,
Tanga,Korogwe,Bungu,
Tanga,Korogwe,Lutindi,
Tanga,Korogwe,Makuyuni,
Tanga,Korogwe,Chekelei,
Tanga,Korogwe,Mombo,
Tanga,Korogwe,Mkalamo,
Tanga,Korogwe,Mkomazi,
Tanga,Korogwe,Kwashemshi,
Tanga,Korogwe,Mpale,
Tanga,Korogwe,Mswaha,
Tanga,Korogwe,Magamba Kwalukonge,
Tanga,Muheza,Misozwe,
Tanga,Muheza,Pande Darajani,
Tanga,Muheza,Ngomeni,
Tanga,Muheza,Kigombe,
Tanga,Muheza,Lusanga,
Tanga,Muheza,Kicheba,
Tanga,Muheza,Magoroto,
Tanga,Muheza,Magila,
Tanga,Muheza,Mbaramo,
Tanga,Muheza,Majengo,
Tanga,Muheza,Masuguru,
Tanga,Muheza,Tingeni,
Tanga,Muheza,Kilulu,
Tanga,Muheza,Mkuzi,
Tanga,Muheza,Mtindiro,
Tanga,Muheza,Kwafungo,
Tanga,Muheza,Songa,
Tanga,Muheza,Bwembwera,
Tanga,Muheza,Potwe,
Tanga,Muheza,Nkumba,
Tanga,Muheza,Kisiwani,
Tanga,Muheza,Misalai,
Tanga,Muheza,Zirai,
Tanga,Muheza,Mbomole,
Tanga,Muheza,Amani,
Tanga,Muheza,Tongwe,
Tanga,Muheza,Mhamba,
Tanga,Muheza,Kwakifua,
Tanga,Muheza,Kwemkabala,
Tanga,Muheza,Genge,
Tanga,Muheza,Tanganyika,
Tanga,Muheza,Mpapayu,
Tanga,Muheza,Mlingano,
Tanga,Tanga Urban,Central,
Tanga,Tanga Urban,Majengo,
Tanga,Tanga Urban,Nguvumali,
Tanga,Tanga Urban,Chumbageni,
Tanga,Tanga Urban,Ngamiani Kaskazini,
Tanga,Tanga Urban,Ngamiani Kati,
Tanga,Tanga Urban,Ngamiani Kusini,
Tanga,Tanga Urban,Usagara,
Tanga,Tanga Urban,Makorora,
Tanga,Tanga Urban,Mzingani,
Tanga,Tanga Urban,Msambweni,
Tanga,Tanga Urban,Mwanzange,
Tanga,Tanga Urban,Tangasisi,
Tanga,Tanga Urban,Mabawa,
Tanga,Tanga Urban,Tongoni,
Tanga,Tanga Urban,Marungu,
Tanga,Tanga Urban,Pongwe,
Tanga,Tanga Urban,Maweni,
Tanga,Tanga Urban,Duga,
Tanga,Tanga Urban,Mzizima,
Tanga,Tanga Urban,Mabokweni,
Tanga,Tanga Urban,Kirare,
Tanga,Tanga Urban,Kiomoni,
Tanga,Tanga Urban,Chongoleani,
Tanga,Pangani,Pangani Mashariki,
Tanga,Pangani,Pangani Magharibi,
Tanga,Pangani,Bweni,
Tanga,Pangani,Madanga,
Tanga,Pangani,Kimang'a,
Tanga,Pangani,Bushiri,
Tanga,Pangani,Mwera,
Tanga,Pangani,Tungamaa,
Tanga,Pangani,Kipumbwi,
Tanga,Pangani,Mikunguni,
Tanga,Pangani,Ubangaa,
Tanga,Pangani,Mkwaja,
Tanga,Pangani,Mkalamo,
Tanga,Handeni,Segera,
Tanga,Handeni,Ndolwa,
Tanga,Handeni,Mazingara,
Tanga,Handeni,Kwamsisi,
Tanga,Handeni,Kwasunga,
Tanga,Handeni,Kwaluguru,
Tanga,Handeni,Kang'ata,
Tanga,Handeni,Kwamkonje,
Tanga,Handeni,Kwachaga,
Tanga,Handeni,Sindeni,
Tanga,Handeni,Misima,
Tanga,Handeni,Kiva,
Tanga,Handeni,Kabuku,
Tanga,Handeni,Kwamatuku,
Tanga,Handeni,Kwedizinga,
Tanga,Handeni,Mgambo,
Tanga,Handeni,Komkonga,
Tanga,Handeni,Mkata,
Tanga,Handeni,Kabuku ndani,
Tanga,Handeni,Kwamgwe,
Tanga,Kilindi,Lwande,
Tanga,Kilindi,Kikunde,
Tanga,Kilindi,Songe,
Tanga,Kilindi,Pagwi,
Tanga,Kilindi,Masagalu,
Tanga,Kilindi,Kimbe,
Tanga,Kilindi,Kilindi,
Tanga,Kilindi,Negero,
Tanga,Kilindi,Mkindi,
Tanga,Kilindi,Mvungwe,
Tanga,Kilindi,Kwediboma,
Tanga,Kilindi,Saunyi,
Tanga,Kilindi,Jaila,
Tanga,Kilindi,Msanja,
Tanga,Kilindi,Kisangasa,
Tanga,Kilindi,Mabalanga,
Tanga,Kilindi,Kibirashi,
Tanga,Kilindi,Kilwa,
Tanga,Kilindi,Tunguli,
Tanga,Kilindi,Kwekivu,
Tanga,Mkinga,Mwakijembe,
Tanga,Mkinga,Mkinga,
Tanga,Mkinga,Duga,
Tanga,Mkinga,Moa,
Tanga,Mkinga,Manza,
Tanga,Mkinga,Kwale,
Tanga,Mkinga,Mtimbwani,
Tanga,Mkinga,Gombero,
Tanga,Mkinga,Mhinduro,
Tanga,Mkinga,Maramba,
Tanga,Mkinga,Kigongoi,
Tanga,Mkinga,Daluni,
Tanga,Mkinga,Bosha,
Tanga,Mkinga,Mapatano,
Tanga,Mkinga,Bwiti,
Tanga,Mkinga,Mnyenzani,
Tanga,Mkinga,Doda,
Tanga,Mkinga,Boma,
Tanga,Mkinga,Parungu Kasera,
Tanga,Mkinga,Mayomboni,
Tanga,Mkinga,Sigaya,
Tanga,Korogwe Township Authority,Ngombezi,
Tanga,Korogwe Township Authority,Mtonga,
Tanga,Korogwe Township Authority,Magunga,
Tanga,Korogwe Township Authority,Kwamndolwa,
Tanga,Korogwe Township Authority,Old Korogwe,
Tanga,Korogwe Township Authority,Manundu,
Tanga,Korogwe Township Authority,Kilole,
Tanga,Korogwe Township Authority,Kwamsisi,
Tanga,Handeni Mji,Malezi,
Tanga,Handeni Mji,Kwenjugo,
Tanga,Handeni Mji,Mabanda,
Tanga,Handeni Mji,Konje,
Tanga,Handeni Mji,Mlimani,
Tanga,Handeni Mji,Msasa,
Tanga,Handeni Mji,Kideleko,
Tanga,Handeni Mji,Kwamagome,
Tanga,Handeni Mji,Vibaoni,
Tanga,Handeni Mji,Chanika,
Tanga,Handeni Mji,Mdoe,
Tanga,Handeni Mji,Kwediyamba,
Morogoro,Kilosa,Mabula,
Morogoro,Kilosa,Maguha,
Morogoro,Kilosa,Berega,
Morogoro,Kilosa,Magubike,
Morogoro,Kilosa,Mamboya,
Morogoro,Kilosa,Dumila,
Morogoro,Kilosa,Magole,
Morogoro,Kilosa,Msowero,
Morogoro,Kilosa,Rudewa,
Morogoro,Kilosa,Chanzulu,
Morogoro,Kilosa,Kimamba 'A',
Morogoro,Kilosa,Kimamba ' B ',
Morogoro,Kilosa,Mbumi,
Morogoro,Kilosa,Mkwatani,
Morogoro,Kilosa,Magomeni,
Morogoro,Kilosa,Kasiki,
Morogoro,Kilosa,Mabwerebwere,
Morogoro,Kilosa,Kilangali,
Morogoro,Kilosa,Mikumi,
Morogoro,Kilosa,Ruhembe,
Morogoro,Kilosa,Kidodi,
Morogoro,Kilosa,Vidunda,
Morogoro,Kilosa,Malolo,
Morogoro,Kilosa,Kisanga,
Morogoro,Kilosa,Uleling'ombe,
Morogoro,Kilosa,Ulaya,
Morogoro,Kilosa,Zombo,
Morogoro,Kilosa,Lumuma,
Morogoro,Kilosa,Masanze,
Morogoro,Kilosa,Lumbiji,
Morogoro,Kilosa,Kitete,
Morogoro,Kilosa,Madoto,
Morogoro,Kilosa,Tindiga,
Morogoro,Kilosa,Ruaha,
Morogoro,Morogoro,Kasanga,
Morogoro,Morogoro,Kolero,
Morogoro,Morogoro,Mvuha,
Morogoro,Morogoro,Selembala,
Morogoro,Morogoro,Bwaki la Chini,
